date,overdue_last_3d,high_priority_due,total_due_today,active_tasks_before,avg_duration,label_zaval
2025-05-01,0,2,4,8,3.25,0
2025-05-02,0,2,3,5,3.25,0
2025-05-03,2,2,4,8,3.25,1
2025-05-04,3,3,5,10,3.25,1
2025-05-05,0,1,2,7,3.25,0
2025-05-06,1,3,3,3,3.25,0
2025-05-07,3,1,2,6,3.25,0
2025-05-08,3,0,0,2,3.25,0
2025-05-09,2,2,3,6,3.25,0
2025-05-10,3,3,5,10,3.25,1
2025-05-11,1,2,3,5,3.25,0
2025-05-12,3,2,2,4,3.25,0
2025-05-13,0,2,4,8,3.25,0
2025-05-14,0,2,3,6,3.25,0
2025-05-15,0,3,4,5,3.25,0
2025-05-16,1,0,1,5,3.25,0
2025-05-17,1,3,5,8,3.25,1
2025-05-18,2,3,3,5,3.25,0
2025-05-19,1,0,1,4,3.25,0
2025-05-20,1,1,2,7,3.25,0
2025-05-21,1,3,4,8,3.25,0
2025-05-22,2,1,2,5,3.25,0
2025-05-23,1,1,2,5,3.25,0
2025-05-24,1,2,4,9,3.25,0
2025-05-25,2,3,3,8,3.25,1
2025-05-26,3,0,0,1,3.25,0
2025-05-27,2,0,1,1,3.25,0
2025-05-28,3,3,3,3,3.25,0
2025-05-29,0,2,2,2,3.25,0
2025-05-30,0,2,2,2,3.25,0
2025-05-31,3,3,5,7,3.25,1
2025-06-01,2,0,2,4,3.25,0
2025-06-02,0,2,2,3,3.25,0
2025-06-03,2,1,1,4,3.25,0
2025-06-04,2,0,1,1,3.25,0
2025-06-05,3,2,4,9,3.25,1
2025-06-06,3,0,2,5,3.25,0
2025-06-07,3,1,3,5,3.25,0
2025-06-08,0,2,2,7,3.25,0
2025-06-09,2,0,0,1,3.25,0
