date,tasks_created,overdue_last_3d,high_priority,avg_duration,active_today,label_zaval
2025-05-01,4,0,2,2.67,4,0
2025-05-02,1,0,1,4.97,5,0
2025-05-03,2,0,0,4.91,2,0
2025-05-04,2,4,5,3.63,11,1
2025-05-05,3,5,4,2.31,11,1
2025-05-06,2,5,3,3.82,11,1
2025-05-07,1,1,1,4.45,3,0
2025-05-08,1,1,2,2.86,5,0
2025-05-09,3,1,0,1.55,5,0
2025-05-10,4,2,2,1.91,4,0
2025-05-11,5,1,0,4.16,6,0
2025-05-12,3,2,2,4.64,2,0
2025-05-13,7,1,0,1.87,6,0
2025-05-14,2,4,4,4.67,10,1
2025-05-15,2,5,4,3.29,8,1
2025-05-16,2,0,0,2.27,4,0
2025-05-17,4,1,0,1.63,3,0
2025-05-18,6,1,2,1.78,6,0
2025-05-19,6,4,3,4.5,11,1
2025-05-20,4,2,1,3.31,4,0
2025-05-21,7,0,0,1.83,3,0
2025-05-22,10,2,2,2.8,2,0
2025-05-23,4,1,1,3.23,3,0
2025-05-24,4,2,2,3.56,2,0
2025-05-25,5,2,2,3.5,3,0
2025-05-26,2,4,3,4.75,9,1
2025-05-27,3,0,2,2.44,4,0
2025-05-28,2,1,2,3.85,3,0
2025-05-29,9,4,4,3.26,9,1
2025-05-30,2,0,1,3.03,5,0
2025-05-31,3,1,2,2.56,6,0
2025-06-01,4,0,0,1.96,5,0
2025-06-02,2,2,0,4.87,4,0
2025-06-03,3,0,0,2.14,3,0
2025-06-04,4,0,2,1.55,6,0
2025-06-05,2,3,4,4.17,9,1
2025-06-06,3,0,1,2.81,6,0
2025-06-07,1,0,0,3.75,6,1
2025-06-08,7,2,1,1.74,4,0
2025-06-09,5,5,4,3.24,10,1
2025-06-10,6,1,0,4.97,4,0
2025-06-11,4,2,2,3.37,6,0
2025-06-12,1,0,2,4.67,4,1
2025-06-13,4,1,2,3.85,5,0
2025-06-14,6,0,2,4.89,6,0
2025-06-15,3,0,0,3.3,6,0
2025-06-16,5,0,0,2.82,5,0
2025-06-17,1,5,5,3.14,9,1
2025-06-18,5,3,5,3.35,8,1
2025-06-19,4,1,0,3.44,6,0
2025-06-20,3,0,0,2.48,2,0
2025-06-21,3,0,1,2.76,5,0
