user_id,task_created,task_deadline,task_completed,priority
1,2023-01-01,2023-01-10,2023-01-09,2
1,2023-01-05,2023-01-15,2023-01-20,3
2,2023-01-02,2023-01-12,2023-01-11,1
1,2023-01-03,2023-01-08,2023-01-07,1
2,2023-01-04,2023-01-14,2023-01-16,3
3,2023-01-06,2023-01-16,2023-01-15,2
3,2023-01-07,2023-01-17,2023-01-18,3
1,2023-01-08,2023-01-18,2023-01-17,2
2,2023-01-09,2023-01-19,2023-01-20,3
3,2023-01-10,2023-01-20,2023-01-19,1
4,2023-01-11,2023-01-21,2023-01-22,3
4,2023-01-12,2023-01-22,2023-01-21,2
5,2023-01-13,2023-01-23,2023-01-24,3
5,2023-01-14,2023-01-24,2023-01-23,1
